From, to, distance in meters, calcTime, journeysFound, bestPickDeparture,bestPickTime, worstPickDeparture, worstPickTime
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/007015400,457979.7,210,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/007015440,425476.9,167,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008008094,134340.7,167,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008010053,186086.1,164,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008010184,164208.7,165,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008010316,155402,170,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008011068,190040.5,162,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008011090,183491.6,163,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008015345,72627.41,296,6,2019-09-18T06:49:00,9000,2019-09-18T06:49:00,9000
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008015458,113739.4,178,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008015588,113342.8,173,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008032572,151821,168,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008039904,141489.9,163,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008200100,58725.05,257,7,2019-09-18T06:38:00,8220,2019-09-18T06:38:00,8220
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008200101,55056.57,178,1,2019-09-18T16:55:00,9540,2019-09-18T16:55:00,9540
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008200102,56620.86,192,7,2019-09-18T06:26:00,7860,2019-09-18T06:26:00,7860
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008200110,42075.69,197,7,2019-09-18T06:15:00,7140,2019-09-18T06:15:00,7140
